书号	中文名	译名	作者	译者	用户名	评级	日期	helpful vote	标题	内容
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	frog	4.0	2012年9月16日 在美国审核	12	an epic tale; below average quality	The purpose of my review is not to critique a classic tale, but the quality of this specific collection. You should note that the author, Luo Guanzhong, had a strong bias for Liu Bei's Shu Han, and his account of the Three Kingdoms period is full of embellishment. Pros: - This translation of Luo Guanzhong's masterpiece is really quite good and at times stunningly beautiful. You'll find yourself rereading passages again and again out of sheer delight. - Each volume contains a marvelous collection of notes that really does illuminate the characters, locations and culture the reader encounters throughout the Three Kingdoms period. The author includes a wonderful introduction and afterword containing a lot of historical information about Luo Guanzhong, the period, and certain key characters like Zhuge Liang. Cons: The only real issue lies in the quality of the books themselves. - There are many spelling and grammatical errors that just weren't edited out. I've never seen so many mistakes in a book before. - The pages are obviously thinner than western readers are used to, so bath tub readers BEWARE: the pages don't recover from drips, damp fingers, or hot, humid air. That said, as long as you treat them with the care due any book, they'll last just fine. I've read through my volumes three times, and they're still in very good shape.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Patrick Hall	4.0	2010年1月6日 在美国审核	11	Great reading and good edition	I just want to offer my opinion about this edition (the 4 volume box set printed in 1994 [I believe it is 1994]).  The story itself is a fantastic, engaging read.  The language is fluid and I am finding that it is a lot less dry than I expected and so it is very easy to get through the book. Deciding which edition to purchase was my biggest problem, but so far, I have no issues with this one.  While I read some reviews about spelling errors--and indeed they do exist--they are not at all frequent and detract little from the story.  I also read that the characters names occur in three forms, creating much confusion.  Again, I find this to be untrue.  In fact, the narrative will often clearify who is who for the reader so you are not pondering over names the whole time.  Sometimes a character will be referred to in their style.  I don't know what that means in Chinese (it's probally in the footnotes somewhere), but the style is seperate from the surname and given name.  Most characters styles are never used, except upon introduction, so it's no issue. My advice to the reader who has never encountered the story (I have played the games and done some preliminary research on the era) is to read up a little on the history of the time.  Start with the end of the Han through the Three Kingdoms period and this will at least give you a foundation for what is going on.  It will also familiarize you with some of the names and the important players who ruled at this time. The only thing this edition could use are some good maps.  Being that it is a box set, a few seperate inserts that can be referanced along side the books would be great, but they dont have them, so what can you do. Overall, I am not at all dissapointed and highly recommend the Chinese Classics edition for the serious reader.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Amazon Customer	5.0	2021年3月5日 在美国审核	0	glorious	if you're looking for this, you probably already know what it is. it is fast paced, beautifully written, and an amazing story.  the tapestry of legend and historical fact is well enough woven to give one a sense of what actually happened while having a few over the top events. because there is no english translation of the annals of the three kingdoms, this is as close as an english speaking person is going to get to understanding the period. if the number of characters is overwhelming, the dynasty warriors series of video games actually serves as an abridged version that helps to identify the major players in the ocean of hundreds of characters.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	T. Hooper	5.0	2005年3月6日 在美国审核	16	A Must Read	First of all, this is a classic of Chinese that is relatively unknown in the west.  This epic could be considered the Shakespeare of the Chinese language.  It depicts the decay and collapse of the Han dynasty.  In the process of this decay, the nation is split into three kingdoms which stuggle for supremacy.  In the process of this struggle, we find tales of friendship, heroism, betrayal, and tragedy.  This novel has thousands of characters, but perhaps the main character is Kongming, the military strategist of one of the kingdoms.  It's a pure pleasure to read his elegantly executed strategies. This translation has a modern feel, so it was easier to read than other translations that I have read.  Robert Moss does a good job of making the story flow.  However, as some other reviewers have said, it doesn't have a poetic feel.  While the story has been translated, it is always difficult to translate literature into other languages.  Having said that, I think this is an excellent translation for those who want an easy read or those who are reading Three Kingdoms for the first time.  Also I strongly recommend an unabridged version, such as this one.  If you read an abridged version, the story won't seem well developed.  The full text is necessary.  I especially recommend this novel for those who are studying politics, military science, or business.  You'll learn lots of strategies for living life.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Branden	5.0	2019年9月18日 在美国审核	1	Great Value Buy	I bought this because I needed something to read while at work, I went through nearly 100 dollars worth of books in one month buying single volumes. A month later, I've not quite finished it still on book 3 (near ending) and being a romanticized historical it is amazing, really brings you into the world and its setting. Got some time? Got some money? Buy yourself this set, honestly an amazing read and will be donated to my local library when I am through with it!
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Sean Cunningham	4.0	2013年7月28日 在美国审核	3	Good Set, Good Book	THE SET:   This is a good set if you simply want a copy of the book. Paperback, and four easy-to-manage volumes.   This is the Moss Roberts translation. So, you'll get the names and spellings you might be more familiar with - like "Cao Cao" instead of "Tsao Tsao".   It's also a good set if you plan on buying other Chinese Classics like "Outlaws of the Marsh" or "Journey to the West" because they all have uniform editions.   The only possible negatives are since they are somewhat condensing a really long novel into four thinner volumes, the actual pages seem a little thin. I worry from time to time about ripping them.   There are also a number of typos. But in all honesty, I don't really notice them. With the story moving along so quickly and the presence of already-foreign words and names, a typo now and then won't make you stumble in the least. THE BOOK:   "Romance of the Three Kingdoms" is a really great (albeit long) story. This is the fictionalized story of a real civil war period in China that occured after the Han dynasty fell. The names, places, and major events were all real. The heroic actions, dialog, and minor events however are mostly imbelished or improvised.   But despite the length and complexity of the story (there are literally hundreds of characters), this book is a GREAT read. Because it has so much content to cover, the book moves at an incredible pace. Characters are literally fighting and/or dying every other page. Although you may get confused by the names, you will not be bored by anything. I often get bored by books, but everytime I pick this one up I am sucked in instantly.   And if you have played any of the Dynasty Warriors or Romance of the Three Kingdoms video games, you should most definitely read the original tale. Plus, you may have a head start on the complexity from knowing some of the characters/events already.   If you're at all interested in ancient warfare, drama, or literature, you need to read this book.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	John Kim	5.0	2013年8月29日 在美国审核	12	Timeless, classic story... great packaged set	First off... I won't waste your time in writing a review on the Three Kingdoms - I'm assuming that if you're reading this review, you're already aware of just how important/incredible/enjoyable this novel is.  Truly a great entertaining story and yet so many lessons can be learned from it.  It's no wonder why this is so widely taught in most Asian school systems. I will, however, comment on this specific 4-volume package.  This is arguably the best packaged-set available (at this time) for those that want to read the novel.  It's not a "collector's edition" - there's no leather binding or any other high-end detail associated with it, but rather it is a simple and convenient set. Unlike other versions being sold, it is somewhat smaller (I believe the dimensions are already displayed in the item details) - so it is very convenient to carry around (e.g. read on the subway, train, plane, etc).  It's broken up into 4 volumes (page numbers are continuous - so volume II starts on p597) and the overall quality is actually pretty good.  It's your typical paperback book. Prior to purchasing, I read a number of reviews complaining of how "thin the paper was" and that it made it "completely unreadable."  I did not find this to be an issue.  Yes, the paper is probably thinner than one would expect... but nothing where it poses a threat of being damaged easily or anything of the sort.  I also didn't find any issues with being able to see the lettering on the subsequent page (as its shadow is visible on the page you're reading).  Yes, it's there and yes, it's noticeable (especially when there a poem - as the poems are indented); but again, I didn't find it to be an issue. I debated back and forth on what "version" I wanted to purchase and I can honestly say that I'm quite pleased with this purchase.  It's good quality, it's packaged nicely in a boxed 4-volume set (each volume has notes at the end - so no need to search for notes in another book; as is the case with other versions), it's the unabridged version (a MUST - please avoid any abridged version - as they often leave out so much), and it's affordable (complete set costs as much as one volume of other sets).  It's also a Moss Roberts translation - something I would recommend.  And it also uses the pinyin Chinese translations (more easily pronounceable - in my opinion).  Nice introduction, good notes throughout, etc... so also a great option for those "studying" the novel. Simply put, if you're looking for a collector's edition that you're going to hand down from generation to generation with leather binding, hand-drawn images, color, etc, etc... obviously this is not the set for you.  But if you're looking for an affordable, compact, convenient, and accurate translation... then this is the one for you.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	John	4.0	2002年8月26日 在美国审核	12	for those interested in Chinese history...	Now that I finally finished the book, I will say a few words about this book.  It's a long story and it took me over 3 months to finished it.  I did enjoy this historical novel which is said to be 70% based on history and 30% fiction. The characters in the book are more alive in the reader's imagination than in the book itself because there isn't much character developement.  The book doesn't flow or read smoothly instead it feels almost mechanical.  But the events and the actions take a life of it's own in the reader's imagination.  I don't know the Chinese language but maybe there were some essence that was lost in the translation. The events and the strategy that were used in that era of history were brilliant.  Even though this happened hundreds of years ago, I have to remind myself these people were not simple, ignorant farmers.  Instead they were manipulative, calculating and deceptive as much as, if not more than the politicians that we have now. Of all the events in the book, what I still remember is how people are killed so easily and at a whim of those in authority.  No wonder so many people were in fear of their lives and what they said and did because they were at the mercy of the authority.  Another thing I marvelled at was the scale of the wars and battles they had where hundreds of thousands of people would fight and die just because their king wanted ot attack their neighbor. All said, I would reccommend this book for those who have some interest in China or that era of Chinese history.  I give this book 4 out of 5 stars because of the lack of the character developement which would have made this historical novel much more enjoyable and readable.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Henry Wiley	5.0	2018年10月10日 在美国审核	0	Love the series	Anyone that has played the games or Dynasty Warriors should really read the books. They can be a hard read at times with the names but it is well worth it, i have read them more then once and still i love them. There are SO many stories that the games never touch on that will just amaze you even farther about the beloved characters in the games.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	C. Xiao	5.0	2008年3月4日 在美国审核	5	The Art of War and Deception taken to ridiculous levels.	The tactics of The Art of War is pretty much used throughout the book by many of the warlords. The multiple layers of military deception and feints gets so deep that it creates the oddest strategy of all: Predicting that your enemy will anticipate a trap or deception, and go the obvious route instead. Basically to sum it up. 1) China splits up into a dozen warring states and warlords. 2) The "Mandate of Heaven" seems to motivate the warlords to continue fighting, thinking it's heaven's wish to eventually reunite China (which probably keeps China from becoming like Europe, with a dozen states coexisting). 3) The Art of War is known by nearly all the warlords, all the battles are very tactical. 4) If you're interested in Game theory, there are many complicated alliances, breaking of alliances and betrayals between warlords.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Loki Shams	5.0	2003年12月23日 在美国审核	6	Extraordinary Epic Novel!	If you have ever played any of KOEI Dynasty Series games, then you are familiar with the Han Dynasty and some of the Chinese History. If you were interested in knowing more than what you did in the video games, then this book is for you. This is an awesome epic novel, sweeping the history of Chinese history. All of the characters that are in the Dynasty Series game are here for our further knowledge. Liu Bei, Guan Yu, Zhang Fei, Lu Bu, Cao Cao, Cao Song, Dio Chan, Sun Ce, Sun Quan, Sun Shiang San..... the list goes on and on. This story written over a thousand years ago, accurately portrays the lives and feelings of these "heroes". The author is a little swayed by the Shu family, and he seems to favor them, portraying Guan Yu, Liu Bei and Zhang Fei as the most loyal and honorable sworn brothers, with Cao Cao a sort of evil madman. But that is okay, since I never liked Cao Cao in the game anyway. All in all, this is a long and worthwhile read. I would recommend the unabridged version as it is more complete and thorough. You will not be disapointed to see these wonderful characters come to life.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Adam S	5.0	2016年7月7日 在美国审核	5	Videogames can lend themselves to Historical/Literary education.	This is an awesome set. Complaints about how thin the paper is I find to be unreasonable. The paper is completely adequate - now the New American Bible - that's thin paper. The typos are slightly annoying but not too much of a big deal. The translation I find to be very readable. The material is dense and the footnotes are vital. The amount of information on even a single page is astounding and does not lend itself to a quick or passive read. Anyone who has read more difficult historical works such as Thucydides or Caesar shouldn't have any problem with the style.   Like most I became aware of this story through video games, specifically the Dynasty Warriors games. The games were a good primer for the actual text, as the reader already has mental images of the characters and battles - while the mental images of the characters conjured by the games may not be historical, or accurate, they lend themselves to remembering and differentiating individuals - which can be difficult for western readers because of the Chinese names which naturally seem foreign and hard to remember to westerners. I have always had an easier time with Japanese personal names over Chinese personal names, When you start throwing in X's and Z's in the translated names, my brain just goes "What? Strange and unfamiliar!" Therefore the primer videogame course helped me immensely.   I do wish the box that holds all 4 volumes was a little more robust, but for the price of the set, I cant really complain. Overall very pleased. Now I need a statue of Lord Guan to start offering incense to the "God of War."
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Our Empress	5.0	2016年12月3日 在美国审核	1	Romance of the Three Kingdoms	The writing style is interesting, though it is fairly obvious the tale was meant to make Cao Cao out to be the villain and Liu Bei to be the ultimate in compassion and goodness.  Despite that, the stories are colorful and intriguing, though it can be difficult at times to keep track of the names of all the provinces, warlords, underlings, etc..  Rereading helps to alleviate any confusion.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	J. L. Dines	5.0	2008年5月20日 在美国审核	1	Three Kingdoms,  The Heart of Chinese Culture.	Whether you've been there or not, "Three Kingdoms" will provide you deep insite into Chinese History and Culture.  Encapsulated in a Swashbuckler worthy of Hollywood, it is a roadmap to over 2000 years of a culture the West generally knows so little about.  Much as the tales of King Arthur, portray Romanized Britain during the disintegration of Rome, Knightly Brothers strive to preserve the Han Empire or carve kingdoms amidst battles, plots, counter plots, seduction, and betrayal.  These are stories that, even in English translation, show us as much about Chinese thought, in the way place, time, and events are portrayed, as can be gleaned from actual dialog.  Annotated, Three Kingdoms can read on many levels from light entertainment to historic cultural education.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Neil Englehart	1.0	2020年4月7日 在美国审核	1	Misleading	This page is completely messed up: the three editions are entirely different, The kindle edition is an English language comic, the paperback appears to be an English translation of the Chinese novel, and the hardcover is the original Chinese novel!
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Katie	3.0	2019年3月12日 在美国审核	0	Great book but print sucks	It is a great book but the font is really small and they printed it wrong so the lines don't align too well.  If you want your eyes a little less stressed this isn't the book to get.  but plot is great!
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Etienne RP	5.0	2005年11月12日 在美国审核	30	All I Need To Know About Life, I Learned From The Three Kingdoms	Regarding the four Classics of Chinese literature, there is a popular saying that goes: "lao bu kan san guo, shao bu kan shui hu", translated as: "The young shouldn't read Water Margin while the old shouldn't read The Three Kingdoms". I did just the reverse: as a teenager living in France I voraciously read Water Margins, that depicts the lives of 108 outlaws (I knew all of their names by heart!) and is supposed to have a negative influence on young boys because of its vivid display of violence and its apology for the overturn of the social order that made it a favorite of Chairman Mao. The Three Kingdoms was not available in French at that time. I discovered this second classic much later in a Japanese translation, at an age when readers allegedly shouldn't be exposed to its depiction of stratagum, deceptions, frauds and trickeries that cunning politicians could use to their advantage. My dream is that when I reach old age and become conversant enough in Chinese, I will be able to read The Three Kingdoms and Water Margins, as well as the other two classics of Chinese literature, Journey to the West and Dream of the Red Chamber, in their original versions.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Ari D	4.0	2008年1月1日 在美国审核	2	The land long united, must divide...	The historic novel of the three kingdoms was a fantastic read. The literary style was, at first, difficult to get used to but the story itself is told in a very straightforward fashion and the characters are very rich. The constant turn of events will have you rooting for the splendid victories throughout Shu-Han's campaigns and lamenting their bitter losses. I noticed many typos throughout the entire novel but they're few and they're small enough to avoid confusion as you read. Overall I think this particular translation was excellent. It was recommended to me and I would gladly recommend it to anyone who has an affinity for this great age of chivalrous heroes and tyrannous villains.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	stefanie parulis	5.0	2020年2月10日 在美国审核	0	Classic Must Have	A most loved collection for our kids growing up. Must have for the history buffs and strategy lovers.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	tea	5.0	2018年4月27日 在美国审核	0	Best translation ive read	Best translation ive read. This would be the third iteration of this story ive read. The names are spelled correctly with grammar and general spelling mistakes being far less in this rendition. The books physical quality isnt anything to ride home about. Pages wrinkle and warp easily with some text being blurry (only a few pages). Came with a few pages already wrinkled too. Still highly recommended for someone seeking the best translation. This one even has a few pictures and maps. Get this one for reading and then find some special hardcover run for the shelf if you really like it.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Trevor C	5.0	2016年11月23日 在美国审核	1	Translation is good (well I wouldn't know about accuracy	Translation is good (well I wouldn't know about accuracy, but I didn't find it hard to read). As for the story itself, keep in mind that this is a book of tremendous historical and cultural importance (at least in China). If you're reading it because of that, then you're going to get what you want out of it. However taken on its own in comparison to modern works, the story itself is sort of meh, at least in my opinion.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	L. Dumas	5.0	2009年8月17日 在美国审核	4	Superb	This book is EPIC.  This has to be one of the greatest stories ever told.  I would recommend this to anyone.  There are typographical and spelling errors every now and then, but I mean come-on, this is a 1000+ page book published by a chinese company, it's very good that there are so few typos.  Someone remarked that this was not a good version and advised to "check your local library."  He must not know that this is considered the definitive edition of the book, and one of the best unabridged versions out there.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Jamil Bhatti	4.0	2014年3月9日 在美国审核	3	Ten thousand deaths would not deter me.	After falling in love with the movie “Red Cliff” I discovered that its’ narrative was based on this classic chinese novel. And since this story is so ingrained in the East so as to be part of the culture itself I was determined to ferret out a copy and see for myself. This is a huge book, it spans generations and took me months to read. My edition was smartly broken up into four books, so I didn’t have to carry around a huge dictionary sized brick, I appreciate that. What I didn’t appreciate was at the end of book four is a list of important characters, their descriptions and even a list of titles with definitions. How is that offensive? Well I sure could have used that while reading books one through three! Being a westerner, I’m just not that comfortable with all of these chinese names and words, some of the characters only differ by ONE letter! Not to mention most of the main characters have more than one name, used interchangeably. There are also a ton of characters, many who will never appear again, for me, someone who is not good at names, this was a bit of a trial. However, I’m glad I read this, I’m glad I own a copy, and I look forward to reading it again one day. The story itself is impressive with ample amounts of action, tactics, political intrigue, humor, and even romance. I can see why this story has endured for so long. This was not an easy, casual read for me, but it definitely deserves it’s rank as one of the four great Chinese classics.
